"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"204582_s_at" 3.46841611211489 10.1505325145046 39.0347121145222 1.96991497422682e-14 1.73214623683765e-10 19.8608213366375
"211548_s_at" -2.3256703411494 7.17860995994618 -22.7316457256696 1.5411579547473e-11 6.7757009480465e-08 15.8870900549844
"216598_s_at" 1.93630648566224 7.69282155702932 21.7381794322951 2.65888086099329e-11 7.79317980357132e-08 15.4822267564583
"211110_s_at" 3.15776637513028 7.90939096163048 21.1920426036939 3.62521551320646e-11 7.96913000190611e-08 15.2472762883919
"206001_at" -1.59073190330052 12.4027217628603 -18.6439820617585 1.71542158316474e-10 3.01674039615352e-07 14.0195510985782
"202409_at" 3.27411754067014 6.70498929211627 17.7251246648558 3.15670929277791e-10 4.62615746856603e-07 13.5165945966394
"221019_s_at" 2.25172951717259 7.10401230859488 16.345524958922 8.35328291514855e-10 1.04929166675573e-06 12.6914544198447
"204688_at" 1.81300076645897 7.12530688430607 14.7528132651087 2.83434295846945e-09 3.11529720422773e-06 11.6195901507151
"205489_at" 1.24071307408325 7.55225982606302 13.6226521779262 7.26464908627343e-09 7.09756215728914e-06 10.7694812434201
"209288_s_at" -1.22642114946258 7.60391704218304 -13.3268115240301 9.40107386955224e-09 7.78453130818996e-06 10.5332655442479
